burnt_sienna,"Burnt Sienna",#76362b,118,54,43
black,"Black",#0e0e0e,14,14,14
chrome_yellow,"Chrome Yellow",#fecf04,254,207,4
crimson,"Crimson",#d4212e,212,33,46
dark_brown,"Dark Brown",#6e382c,110,56,44
dark_green,"Dark Green",#007d43,0,125,67
golden_yellow,"Golden Yellow",#fbba00,251,186,0
indian_red,"Indian Red",#b1362c,177,54,44
lemon_yellow,"Lemon Yellow", #ffee2e,255,238,46
light_green,"Light Green",#009c45,0,156,69
magenta,"Magenta",#bc2a34,188,42,52
mauve,"Mauve",#423766,66,55,102
orange,"Orange",#ef7f1a,239,127,26
pink,"Pink",#e51955,229,25,85
prussian_blue,"Prussian Blue",#2a3e74,42,62,116
turquoise_blue,"Turquoise Blue",#007680,0,118,128
ultramarine_blue,"Ultramarine Blue",#363789,54,55,137
vermillion,"Vermillion",#e32f2d,227,47,45
violet,"Violet",#5359a3,83,89,163
pearl_green,"Pearl Green",#3d8d2e,61,141,46
sea_green,"Sea Green",#009d00,0,157,0
yellow_ochre,"Yellow Ochre",#e8b40b,232,180,11
white,"white",#fefefe,254,254,254
flesh_tint,"Flesh Tint",#f8f8f8,248,248,248
cerulean_blue,"Cerulean Blue",#0064aa,0,100,170
vandyke_brown,"Vandyke Brown",#742b29,116,43,41
sky_blue,"Sky Blue",#8fd2f0,143,210,240
deep_brilliant_purple,"Deep Brilliant Purple",#b82282,184,34,130
salmon_pink,"Salmon Pink",#ed6e86,237,110,134
coral_red,"Coral Red",#e53a24,229,58,36
greenery,"Greenery",#78b833,120,184,51
teal_blue,"Teal Blue",#00aeba,0,174,186
neon_yellow,"Neon Yellow",#def700,222,247,0
neon_green,"Neon Green",#37f713,55,247,19
neon_orange,"Neon Orange",#f4743e,244,116,62
neon_pink,"Neon Pink",#f347bf,243,71,191
sap_green,"Sap Green",#426626,66,102,38
maroon,"Maroon",#962d30,150,45,48


